Year,Annual_Global_AOD
1850,0.0036000000000000003
1851,0.0025083333333333333
1852,0.0014416666666666666
1853,0.0006166666666666667
1854,0.0002833333333333333
1855,0.0020333333333333336
1856,0.03865833333333333
1857,0.06016666666666667
1858,0.028999999999999998
1859,0.011183333333333332
1860,0.004591666666666667
1861,0.003408333333333333
1862,0.013658333333333333
1863,0.010016666666666667
1864,0.004633333333333333
1865,0.002
1866,0.0008249999999999999
1867,0.00036666666666666667
1868,0.00020833333333333335
1869,0.0006
1870,0.0006083333333333332
1871,0.0005916666666666667
1872,0.0013166666666666667
1873,0.0030083333333333333
1874,0.001958333333333333
1875,0.0012916666666666667
1876,0.0062
1877,0.005266666666666667
1878,0.0031583333333333337
1879,0.002
1880,0.0011416666666666667
1881,0.0006666666666666666
1882,0.000575
1883,0.04729166666666667
1884,0.14290833333333333
1885,0.06349166666666667
1886,0.03643333333333334
1887,0.03710833333333333
1888,0.02185833333333333
1889,0.02853333333333333
1890,0.039125
1891,0.029975
1892,0.021658333333333335
1893,0.009441666666666666
1894,0.003533333333333333
1895,0.0013666666666666669
1896,0.018283333333333332
1897,0.016858333333333333
1898,0.012116666666666666
1899,0.0045583333333333335
1900,0.0017583333333333333
1901,0.0007416666666666666
1902,0.0202
1903,0.07151666666666666
1904,0.03179166666666667
1905,0.012575000000000001
1906,0.0072499999999999995
1907,0.0092
1908,0.010275000000000001
1909,0.004008333333333333
1910,0.0031249999999999997
1911,0.001675
1912,0.0193
1913,0.02408333333333333
1914,0.009916666666666666
1915,0.003941666666666667
1916,0.0027416666666666666
1917,0.002225
1918,0.0019500000000000001
1919,0.0020083333333333333
1920,0.009358333333333333
1921,0.007658333333333333
1922,0.002891666666666667
1923,0.0011166666666666666
1924,0.003408333333333333
1925,0.002858333333333333
1926,0.002341666666666667
1927,0.0015083333333333335
1928,0.00525
1929,0.009825
1930,0.006208333333333333
1931,0.0047
1932,0.008241666666666666
1933,0.006675
1934,0.0038
1935,0.004233333333333333
1936,0.003258333333333333
1937,0.0028166666666666665
1938,0.004908333333333333
1939,0.0041
1940,0.003191666666666667
1941,0.0019416666666666668
1942,0.0042
1943,0.0043749999999999995
1944,0.00235
1945,0.0022166666666666667
1946,0.0018166666666666667
1947,0.0022833333333333334
1948,0.0017083333333333334
1949,0.0032666666666666664
1950,0.0028666666666666667
1951,0.0019749999999999998
1952,0.003675
1953,0.0033916666666666665
1954,0.003608333333333333
1955,0.0018000000000000002
1956,0.0011333333333333332
1957,0.0005166666666666667
1958,0.00025
1959,0.0002
1960,0.0046166666666666665
1961,0.010775
1962,0.01325
1963,0.04596666666666666
1964,0.07169166666666667
1965,0.04318333333333333
1966,0.02323333333333333
1967,0.014499999999999999
1968,0.02740833333333333
1969,0.0344
1970,0.016566666666666667
1971,0.006483333333333334
1972,0.003925
1973,0.007791666666666666
1974,0.012708333333333334
1975,0.030125
1976,0.013625
1977,0.005091666666666667
1978,0.007541666666666666
1979,0.009166666666666667
1980,0.0047
1981,0.004991666666666667
1982,0.052524999999999995
1983,0.07524166666666667
1984,0.030158333333333332
1985,0.012633333333333335
1986,0.013566666666666666
1987,0.010333333333333333
1988,0.007608333333333334
1989,0.006141666666666667
1990,0.0061333333333333335
1991,0.05391666666666667
1992,0.12114166666666666
1993,0.048999999999999995
1994,0.01995
1995,0.009633333333333334
1996,0.0065
1997,0.005216666666666667
1998,0.0028
1999,0.0021166666666666664
2000,0.0021
2001,0.002108333333333333
2002,0.0020916666666666666
2003,0.0026999999999999997
2004,0.002425
2005,0.0034333333333333334
2006,0.0038583333333333334
2007,0.004350000000000001
2008,0.0037916666666666667
2009,0.0046749999999999995
2010,0.0035666666666666663
2011,0.004925
2012,0.0037333333333333333
